disease,icd,count
vulvovaginal atrophy,None,3
colon cleansing,None,3
peanut allergy,['Z91.010'],3
vaginal infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",3
her-2 positive breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
hereditary inclusion body myopathy,"['D58.0', 'D58.1', 'D80.0', 'E79.82', 'E83.110', 'Q82.0', 'D64.0']",3
distal myopathy with rimmed vacuoles,"['G71.21', 'G72.1', 'G72.9', 'G71.20', 'G71.228', 'G71.29', 'G72.0']",3
"distal myopathy, nonaka type","['G71.21', 'G72.1', 'G72.9', 'G71.20', 'G71.228', 'G71.29', 'G72.0']",3
gne myopathy,"['G71.21', 'G72.1', 'G72.9', 'G71.20', 'G71.228', 'G71.29', 'G72.0']",3
vaginal atrophy,None,3
recurrent b acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",3
refractory b acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",3
"chronic obstructive pulmonary disease, copd","['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",3
glabellar lines,None,3
cannabis,"['F12.180', 'F12.188', 'F12.19', 'F12.280', 'F12.288', 'F12.29', 'F12.988']",3
als,None,3
advanced malignant neoplasm,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",3
primary biliary cholangitis,"['K83.09', 'K83.01', 'K80.30', 'K80.31', 'K80.32', 'K80.33', 'K80.34']",3
hemophilia,"['D68.311', 'Z14.01', 'Z14.02']",3
symptomatic neurogenic orthostatic hypotension,"['D72.820', 'D72.821', 'A52.10', 'A52.19', 'E28.310', 'A52.79', 'E89.41']",3
"leukemia, myelomonocytic, chronic","['C93.11', 'C93.12', 'C93.10']",3
bile acid malabsorption,"['K90.89', 'K90.9', 'K91.2', 'M83.2', 'K90.49', 'D51.1']",3
cancer of breast,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
heart failure with reduced ejection fraction,None,3
malignant solid neoplasm,"['R18.0', 'C17.3', 'G21.0', 'J91.0', 'C05.2', 'C10.0', 'C16.0']",3
nonproliferative diabetic retinopathy,"['E10.3213', 'E10.3293', 'E10.3313', 'E10.3393', 'E10.3413', 'E10.3493', 'E11.3213']",3
chronic heart failure with reduced ejection fraction,None,3
systemic lupus erythematosus (sle),"['L10.4', 'L93.0', 'L93.1', 'L93.2', 'M32.9', 'M32.0', 'M32.11']",3
uremic pruritus,"['L29.0', 'L29.1', 'L29.2', 'L29.8', 'L29.9', 'L29.3']",3
"hypertension, pregnancy-induced","['O13.1', 'O13.2', 'O13.3', 'O13.4', 'O13.9', 'O13.5']",3
obstructive sleep apnea (osa),"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",3
"muscular atrophy, spinal","['G12.9', 'G12.1', 'G12.0']",3
"heart failure, systolic","['I50.20', 'I50.21', 'I50.22', 'I50.23', 'I50.40', 'I50.41', 'I50.42']",3
stage iii rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",3
statin adverse reaction,"['D72.823', 'F43.0', 'L43.2', 'R50.84', 'T80.92XS', 'F43.9', 'T80.92XA']",3
"anesthesia, local","['O89.3', 'O29.3X1', 'O29.3X2', 'O29.3X3', 'O29.3X9', 'O74.4']",3
"lung diseases, interstitial","['J84.115', 'J84.170', 'J84.848']",3
"depression, postpartum",['F53.0'],3
acute respiratory viral infections,"['R09.2', 'A15.7', 'A15.8', 'A15.9', 'J98.9', 'R06.03', 'J12.1']",3
"hypersensitivity, immediate","['M31.0', 'M36.4', 'J39.3', 'J67.8', 'J67.9']",3
hiv-1-infection,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",3
"agitation,psychomotor",None,3
acne inversa,None,3
"pain, acute","['G89.12', 'G89.18', 'G89.11', 'G89.3']",3
generalized myasthenia gravis,"['A21.7', 'I70.91', 'R60.1', 'R61', 'F40.11', 'F41.1', 'K65.0']",3
metabolic acidosis,"['E87.21', 'E87.22', 'P74.0']",3
chronic spontaneous urticaria,"['R23.3', 'G96.811', 'J93.0', 'J93.11', 'J93.12', 'K65.2', 'G96.01']",3
elevated cholesterol,"['E78.70', 'E78.79', 'K82.4']",3
tobacco smoking,"['O99.334', 'O99.335', 'O99.330', 'O99.331', 'O99.332', 'O99.333']",3
"skin diseases, genetic",None,3
stage iva prostate cancer ajcc v8,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",3
nonalcoholic fatty liver disease,"['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",3
pneumococcal infections,"['G00.1', 'M00.19', 'M00.18', 'M00.10', 'M00.111', 'M00.112', 'M00.119']",3
stage iva lung cancer ajcc v8,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",3
stage ivb lung cancer ajcc v8,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",3
sars-cov infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",3
sars-cov 2,None,3
severe acute respiratory syndrome coronavirus 2,"['R09.2', 'A15.7', 'A15.8', 'A15.9', 'J98.9', 'R06.03', 'J12.1']",3
advanced malignant solid neoplasm,"['R18.0', 'C17.3', 'G21.0', 'J91.0', 'C05.2', 'C10.0', 'C16.0']",3
abuse potential,"['R94.112', 'R78.4', 'Z00.5', 'Z77.21']",3
coronavirus disease (covid-19),"['B34.2', 'J12.81', 'J12.82', 'B97.29', 'B97.21']",3
metastatic lung non-small cell carcinoma,"['D02.20', 'D02.21', 'D02.22']",3
melancholia,None,2
sleep apnea syndrome,"['G47.30', 'G47.39', 'G47.31', 'G47.33', 'P28.30', 'P28.31', 'P28.32']",2
fibrosis,"['K74.01', 'K74.02', 'K68.2', 'E84.9', 'J84.10', 'J84.112', 'K13.5']",2
nephrotic syndrome,"['Z87.441', 'N04.0', 'N04.21', 'N04.22', 'N04.5', 'N04.6', 'N04.7']",2
meningioma,None,2
small intestine cancer,"['C17.9', 'C78.4', 'D37.2', 'C17.8', 'D13.30', 'D13.39', 'Z12.13']",2
"neurofibroma, plexiform","['Q85.00', 'Q85.01', 'Q85.02', 'Q85.09']",2
"ischemic attack, transient","['G45.9', 'Z86.73', 'G45.8']",2
precancerous/nonmalignant condition,"['Y95', 'D69.9', 'J94.9', 'L53.9', 'G47.01', 'G47.14', 'P28.9']",2
medulloblastoma,None,2
large cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",2
stage iia non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",2
pulmonary complications,"['O89.09', 'O29.091', 'O29.092', 'O29.093', 'O29.099', 'O74.1']",2
liposarcoma,None,2
"infections, gram-positive bacterial","['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",2
cellulitis,"['L03.213', 'L03.90', 'L03.211', 'L03.221', 'L03.314', 'L03.315', 'L03.316']",2
stage ii uterine corpus cancer,"['C54.9', 'D26.1', 'C54.8']",2
death,"['G93.82', 'P01.6', 'Z63.4', 'Z82.41', 'O36.4XX1', 'O36.4XX2', 'O36.4XX3']",2
smith-lemli-opitz syndrome,['E78.72'],2
estrogen receptor positive breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",2
rectal mucinous adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
rectal signet ring cell adenocarcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",2
stage iia rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage iib rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage iic rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage iva rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage ivb rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
renal neoplasms,"['C65.1', 'C65.2', 'C65.9', 'D30.10', 'D30.11', 'D30.12', 'C64.1']",2
lung diseases,"['J84.115', 'M05.10', 'M05.111', 'M05.112', 'M05.119', 'M05.121', 'M05.122']",2
extragonadal germ cell tumor,None,2
cardiothoracic surgery,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",2
acute lymphoblastic leukemia in remission,['C91.01'],2
acute myeloid leukemia in remission,"['C92.A1', 'C92.61']",2
aggressive non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
neurofibromatosis 1,['Q85.01'],2
radiation fibrosis,"['K62.7', 'G62.82', 'N46.024', 'N46.124', 'T66.XXXS', 'Z57.1', 'N52.35']",2
liver disease,"['K76.9', 'K71.8', 'K70.9', 'K71.9', 'K75.9', 'P78.84', 'Q44.6']",2
stage iii colon cancer,"['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']",2
methicillin resistant staphylococcus aureus (mrsa),"['A41.2', 'J15.20', 'J15.29', 'P23.2', 'A41.1', 'A41.01', 'A41.02']",2
recurrent head and neck cancer,"['C67.5', 'C76.0', 'C44.40', 'D23.4', 'C44.49', 'C47.0', 'C49.0']",2
metastatic head and neck cancer,"['C67.5', 'C76.0', 'C44.40', 'D23.4', 'C44.49', 'C47.0', 'C49.0']",2
adenocarcinoma of the pancreas,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
"angina, unstable","['I20.0', 'I25.110', 'I25.750', 'I25.700', 'I25.790', 'I25.710', 'I25.720']",2
bone metastases in subjects with advanced breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",2
adult acute megakaryoblastic leukemia,"['C94.21', 'C94.22', 'C94.20']",2
adult acute monocytic leukemia,"['C93.Z1', 'C93.Z2', 'C93.91', 'C93.92', 'C93.01', 'C93.02', 'C93.Z0']",2
adult acute myeloid leukemia with maturation,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
adult acute myeloid leukemia with minimal differentiation,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
adult acute myeloid leukemia with t(16;16)(p13.1;q22); cbfb-myh11,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
adult acute myeloid leukemia without maturation,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
adult acute myelomonocytic leukemia,"['C92.51', 'C92.52', 'C93.11', 'C93.12', 'C93.31', 'C93.32', 'C92.50']",2
adult erythroleukemia,None,2
adult pure erythroid leukemia,"['C94.01', 'C94.02', 'C94.00']",2
alkylating agent-related acute myeloid leukemia,['Z79.630'],2
"puberty, precocious",['E30.1'],2
juvenile rheumatoid arthritis,"['M08.08', 'M08.48', 'M08.011', 'M08.012', 'M08.019', 'M08.021', 'M08.022']",2
angioedema,None,2
monoclonal gammopathy of undetermined significance,"['T36.0X4S', 'T36.3X4S', 'T36.4X4S', 'T36.5X4S', 'T36.6X4S', 'T37.0X4S', 'T37.4X4S']",2
stomatitis,"['B08.61', 'B37.0', 'A69.0', 'K12.1', 'B08.4']",2
prostatitis,"['A54.22', 'A59.02', 'N41.0', 'N41.1', 'N41.4']",2
phenylketonurias,None,2
vasculitis,"['L95.0', 'H35.063', 'H35.061', 'H35.062', 'H35.069', 'M35.0B', 'I77.82']",2
previously treated myelodysplastic syndrome,"['D46.Z', 'D46.9', 'C94.6', 'D46.C']",2
adult acute myeloid leukemia with t(9;11)(p22;q23); mllt3-mll,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
adult acute myeloid leukemia with t(8;21)(q22;q22); runx1-runx1t1,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
"atypical chronic myeloid leukemia, bcr-abl1 negative","['G50.1', 'I48.4', 'H57.01', 'M84.750S', 'N42.32', 'M84.751S', 'M84.752S']",2
recurrent adult immunoblastic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
recurrent childhood acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",2
recurrent childhood large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
recurrent childhood lymphoblastic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
myositis,"['B58.82', 'D86.87', 'M60.9', 'B69.81', 'H05.123', 'G72.41', 'H05.121']",2
juvenile dermatomyositis,"['M33.02', 'M33.03', 'M33.00', 'M33.01', 'M33.09']",2
"arthroplasty, replacement, hip","['Z79.890', 'Z96.693', 'Z47.1', 'Z95.4', 'Z96.691', 'Z96.692', 'T82.320S']",2
carcinoma of unknown primary,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
"heart defects, congenital","['Q76.3', 'D70.0', 'D74.0', 'H55.01', 'P37.0', 'P37.1', 'P83.5']",2
ds stage i multiple myeloma,"['G35', 'M15.3', 'M67.49', 'M89.09', 'M89.59', 'M94.29', 'Q78.6']",2
ds stage ii multiple myeloma,"['G35', 'M15.3', 'M67.49', 'M89.09', 'M89.59', 'M94.29', 'Q78.6']",2
ds stage iii multiple myeloma,"['G35', 'M15.3', 'M67.49', 'M89.09', 'M89.59', 'M94.29', 'Q78.6']",2
autoimmune disease,"['E06.3', 'E20.812', 'K75.4', 'E31.0', 'D59.10', 'D59.11', 'D59.12']",2
diabetic autonomic neuropathy,"['E10.43', 'E11.43', 'E13.43', 'E08.43', 'E09.43']",2
"rhinitis, vasomotor",['J30.0'],2
vasomotor rhinitis,['J30.0'],2
refractory anemia with excess blasts,"['D46.20', 'D46.21', 'D46.22']",2
refractory anemia with ringed sideroblasts,"['D46.1', 'D46.0', 'D46.B']",2
refractory cytopenia with multilineage dysplasia,"['D46.A', 'D46.B']",2
ventricular fibrillation,['I49.01'],2
extraocular extension melanoma,"['H05.823', 'H05.821', 'H05.822', 'H05.829', 'H50.681', 'H50.682', 'H50.689']",2
recurrent intraocular melanoma,"['Z96.1', 'T85.22XS', 'T85.21XS', 'T85.22XA', 'T85.22XD', 'T85.21XA', 'T85.21XD']",2
esophagitis,"['B37.81', 'K20.0', 'K20.80', 'K20.81', 'K20.90', 'K20.91', 'K21.9']",2
coronary restenosis,"['I25.84', 'I25.41', 'I25.42', 'Z98.61', 'I24.81', 'I25.85', 'Q24.5']",2
growth disorders,"['M89.20', 'M89.211', 'M89.212', 'M89.219', 'M89.221', 'M89.222', 'M89.229']",2
"kidney disease, chronic","['I12.9', 'N18.9', 'I12.0', 'D63.1', 'N18.1', 'N18.5', 'I13.0']",2
unipolar depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",2
burkitt lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
hodgkin's disease,"['C81.77', 'C81.97', 'C81.17', 'C81.27', 'C81.37', 'C81.47', 'C81.70']",2
skin neoplasms,"['C79.2', 'C44.500', 'C44.90', 'D23.9', 'D48.5', 'C44.00', 'C44.301']",2
amenorrhea,"['N91.0', 'N91.1', 'N91.2']",2
"leukemia, myelocytic, acute","['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",2
"lymphoblastic leukemia, acute","['C91.01', 'C91.02', 'C91.00']",2
advanced idiopathic parkinson's disease,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",2
cocaine-related disorders,"['F14.14', 'F14.180', 'F14.182', 'F14.188', 'F14.19', 'F14.24', 'F14.280']",2
"ventricular dysfunction, left","['I49.01', 'I49.02', 'I47.20', 'I47.29', 'I49.3', 'Q21.0', 'I47.0']",2
panhypopituitarism,None,2
anxiety disorders,"['F41.1', 'F41.9', 'F40.9', 'F43.22', 'F41.0', 'F93.0', 'F12.980']",2
pompe disease (late-onset),"['G11.2', 'G30.1']",2
herpes genitalis,None,2
growth hormone therapy,None,2
optic neuritis,"['H46.8', 'H46.9']",2
acquired bleeding disorder,"['D68.311', 'L85.0', 'H53.62', 'I77.0', 'L11.0', 'L68.1', 'N48.83']",2
mantle-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
turner syndrome,"['Q96.9', 'Q96.8', 'O35.14X1', 'O35.14X2', 'O35.14X3', 'O35.14X4', 'O35.14X5']",2
appendicitis,"['K36', 'K37', 'K35.80', 'K35.890', 'K35.891', 'K35.200', 'K35.201']",2
cross infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",2
"leukemia, lymphocytic, chronic, b-cell","['C91.11', 'C91.12', 'C91.10']",2
"lymphoma, b cell","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
"lymphoma, b-cell","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",2
fibrinolysis,"['T45.606S', 'T45.696S', 'T45.603S', 'T45.604S', 'T45.605S', 'T45.606A', 'T45.606D']",2
angioneurotic edema,"['T78.3XXS', 'T78.3XXA', 'T78.3XXD']",2
neoplastic syndrome,['G73.1'],2
tumor lysis syndrome,['E88.3'],2
hypereosinophilic syndrome,"['D72.118', 'D72.110', 'D72.119', 'D72.111']",2
intra-abdominal abscess,"['D18.03', 'C83.73', 'C84.03', 'C84.13', 'C81.73', 'C81.93', 'C82.93']",2
intra-abdominal infection,"['D18.03', 'C83.73', 'C84.03', 'C84.13', 'C81.73', 'C81.93', 'C82.93']",2
edema,"['G93.6', 'H35.81', 'R60.0', 'R60.1', 'R60.9', 'H11.423', 'H18.20']",2
bipolar ii disorder,['F31.81'],2
major depressive episode,"['F32.0', 'F32.1', 'F32.9', 'F32.4', 'F32.5', 'F32.2', 'F32.3']",2
muscular diseases,"['G71.00', 'G71.02', 'G71.11', 'G12.9', 'G71.09', 'N36.44', 'G12.1']",2
lou gehrig's disease,None,2
dcis,None,2
nicotine use disorder,"['F17.208', 'F17.209', 'F17.218', 'F17.219', 'F17.228', 'F17.229', 'F17.298']",2
"chronic kidney disease, stage 5","['N18.5', 'I12.0', 'I13.11', 'I13.2']",2
human immunodeficiency virus infections,['Z21'],2
stage iiia fallopian tube cancer,"['C57.00', 'C57.01', 'C57.02']",2
stage iiia ovarian cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage iiia primary peritoneal cancer,"['K65.1', 'K66.0', 'N99.4', 'N73.6', 'R88.0', 'Z49.32', 'Z49.02']",2
stage iiib fallopian tube cancer,"['C57.00', 'C57.01', 'C57.02']",2
stage iiib ovarian cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage iiib primary peritoneal cancer,"['K65.1', 'K66.0', 'N99.4', 'N73.6', 'R88.0', 'Z49.32', 'Z49.02']",2
stage iiic fallopian tube cancer,"['C57.00', 'C57.01', 'C57.02']",2
stage iiic ovarian cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
stage iiic primary peritoneal cancer,"['K65.1', 'K66.0', 'N99.4', 'N73.6', 'R88.0', 'Z49.32', 'Z49.02']",2
stage iv fallopian tube cancer,"['C57.00', 'C57.01', 'C57.02']",2
stage iv primary peritoneal cancer,"['K65.1', 'K66.0', 'N99.4', 'N73.6', 'R88.0', 'Z49.32', 'Z49.02']",2
alpha 1-antitrypsin deficiency,['E88.01'],2
status epilepticus,"['G40.803', 'G40.804', 'G40.823', 'G40.824', 'G40.833', 'G40.834', 'G40.911']",2
"neoplasms, squamous cell","['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
uterine neoplasm,"['C57.4', 'D28.2']",2
hyperoxaluria,"['R82.992', 'E72.53']",2
pemphigus,"['L10.0', 'L10.1', 'L10.2', 'L10.4', 'L10.81', 'L10.89', 'L10.9']",2
lichen planus,"['L43.0', 'L43.1', 'L43.8', 'L43.9', 'L43.3']",2
eating disorders,"['F50.81', 'F50.9', 'F50.89']",2
mixed hyperlipidemia,['E78.2'],2
leiomyoma,"['D25.0', 'D25.1', 'D25.2', 'D25.9']",2
metrorrhagia,None,2
biliary atresia,None,2
impotence,None,2
myelodysplastic/myeloproliferative diseases,None,2
spinal and bulbar muscular atrophy,"['G71.00', 'G71.02', 'G71.11', 'G12.9', 'G71.09', 'N36.44', 'G12.1']",2
adenocarcinoma of the rectum,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
"diabetes, type 2","['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']",2
brain death,"['G93.82', 'S06.2X7A', 'S06.307A', 'S06.8A7A', 'S06.4X7A', 'S06.5X7A', 'S06.1X7A']",2
surgical adhesions,"['T81.510S', 'T81.510A', 'T81.510D']",2
chronic non-malignant pain,None,2
back pain lower back chronic,None,2
alpha1-antitrypsin deficiency,['E88.01'],2
opiate-related disorders,"['F20.81', 'F21', 'F34.0', 'F34.1', 'F42.3', 'F45.0', 'F51.5']",2
"shock, traumatic","['T79.4XXS', 'T79.4XXA', 'T79.4XXD']",2
peripheral nervous system diseases,"['G64', 'M35.06', 'P14.9', 'P14.8', 'C47.9', 'D36.10', 'R94.138']",2
stage iia lung non-small cell carcinoma ajcc v7,"['D02.20', 'D02.21', 'D02.22']",2
stage iib lung non-small cell carcinoma ajcc v7,"['D02.20', 'D02.21', 'D02.22']",2
cancer of the ovary,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
abdominal aortic aneurysm,"['I71.30', 'I71.31', 'I71.32', 'I71.33', 'I71.40', 'I71.41', 'I71.42']",2
oral leukoplakia,['K13.21'],2
von hippel-lindau syndrome,['Q85.83'],2
stage iii renal cell cancer,"['C96.20', 'C96.29', 'D47.09']",2
adult angiosarcoma,['C22.3'],2
adult epithelioid sarcoma,None,2
adult extraskeletal osteosarcoma,None,2
adult liposarcoma,None,2
adult synovial sarcoma,"['M67.20', 'M67.211', 'M67.212', 'M67.219', 'M67.231', 'M67.232', 'M67.239']",2
stage iii adult soft tissue sarcoma,None,2
stage iv adult soft tissue sarcoma,None,2
stage iiib or iv non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",2
morbid obesity,"['E66.2', 'E66.01']",2
childhood alveolar rhabdomyosarcoma,"['F80.81', 'F84.3', 'F93.8', 'F93.9', 'R62.0', 'E71.520', 'F64.2']",2
stage iii adult soft tissue sarcoma ajcc v7,None,2
synovial sarcoma,"['M67.20', 'M67.211', 'M67.212', 'M67.219', 'M67.231', 'M67.232', 'M67.239']",2
"caries, dental","['K02.3', 'K02.7', 'K02.9', 'Z91.841', 'Z91.842', 'Z91.843', 'Z91.849']",2
severe aplastic anemia,"['D61.3', 'D61.9', 'D61.09', 'D61.1', 'D61.2', 'D61.89']",2
genetic disorder,"['G24.1', 'D72.0', 'F78.A9', 'Z14.8', 'Z15.89', 'Z31.5', 'Z71.83']",2
astrocytoma,None,2
"lipid metabolism, inborn errors","['E70.5', 'E71.32', 'E72.4', 'E76.9', 'E78.89', 'E83.2', 'E88.40']",2
"metabolism, inborn errors","['E71.42', 'P09.1']",2
"infant, newborn, diseases",None,2
congenital abnormalities,"['Z36.83', 'Z82.79']",2
arthroplasty,None,2
short stature,"['E34.31', 'Q77.1', 'R62.52', 'D82.2', 'E34.328', 'E34.329', 'E34.30']",2
recurrent renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",2
chronic renal failure,"['I13.11', 'I13.2']",2
differentiated thyroid gland carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
recurrent thyroid gland carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage iv thyroid gland follicular carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage iv thyroid gland papillary carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage iva thyroid gland follicular carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage iva thyroid gland papillary carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage ivb thyroid gland follicular carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage ivb thyroid gland papillary carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage ivc thyroid gland follicular carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
stage ivc thyroid gland papillary carcinoma ajcc v7,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
unresectable thyroid gland carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",2
urologic neoplasms,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",2
subclinical hypothyroidism,['E02'],2
squamous cell carcinoma of the head and neck (scchn),"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",2
